,TCGA-A2-A3XY,TCGA-A7-A26G,TCGA-A8-A09X,TCGA-AC-A2QJ,TCGA-AO-A03U,TCGA-AR-A1AR,TCGA-BH-A0BL,TCGA-BH-A0RX,TCGA-C8-A26X,TCGA-D8-A27M
ACKR2,0.506398632,1.643971307,0.206095042,0.108007583,0.458329839,0.245499521,3.26977412,0.263867171,0.182506073,0.087325408
ACKR3,16.22284125,7.591071414,7.471500258,4.534405174,5.022658513,10.41635122,12.49266954,12.8915757,22.90955912,7.048157527
ACKR4,2.19859141,0.825106829,0.831797634,0.07874968,0.378402932,1.255214857,2.430804944,0.770929623,0.57423727,1.093813956
ACLY,31.09185227,21.01174097,38.39072289,9.421670875,40.420618,34.8122702,38.49442201,56.11290483,59.79541392,37.7994053
ACMSD,0.026518196,0.02448791,0.039166055,0,0.026471707,0.086088541,0.061200644,0.051816501,0.882199221,0.060523729
ACO1,7.290822078,7.93772395,9.536156742,3.148754094,15.18060976,15.12798999,12.38565753,5.260993981,8.869462048,9.526739329
ACO2,30.12488309,12.13717525,39.49480517,13.63857736,13.94748099,12.85999504,15.05425157,14.88646844,25.74496677,50.7045301
ACOD1,0.016962144,0,0.150313454,0,0,0.066078985,0.052195313,0.303030815,0.079353481,0.090331503
ACOT1,2.852666965,0.836062713,1.96335188,0.626963301,0.817717659,0.531859326,1.533960974,1.70893768,4.482130818,2.705990121
ACOT11,0.113410898,0.323492948,0.119112709,0.445296063,0.381147316,0.204951627,0.475490722,0.464314529,0.267248427,0.60971915
ACOT12,0,0,0,0,0,0,0.063928046,0.008435174,0.007853816,0.00574736
ACOT13,6.737099433,3.916440164,4.563512422,3.682617484,4.504964533,4.032319454,7.431540759,8.360704829,6.487065763,5.997115474
ACOT2,12.78722641,2.137447657,5.264708297,3.32863017,4.636613977,2.364502893,9.389959648,7.348548699,8.85540186,5.558747027
ACOT4,1.63631791,1.015379136,0.761972115,0.348599028,1.071625934,0.482152321,1.575510651,2.600947672,11.85652164,1.343996617
ACOT6,0.010404787,0.019216351,0.384183794,0,0,0,0.036019398,0.017426513,1.898379418,0
ACOT7,12.7834285,5.622599944,5.788017648,11.45865129,9.337620597,5.674161679,9.715929949,12.96221152,5.501494961,8.484469654
ACOT8,3.611145112,3.693496248,2.028103787,9.644564702,2.534452788,2.768610941,2.248714499,4.066350487,3.635744299,3.287419187
ACOT9,8.403494286,6.895118852,7.843230167,6.434847655,7.051917123,8.141555877,9.547914972,5.8831577,7.862761999,11.22109352
ACOX1,6.846005815,24.70382938,9.694916135,2.615669874,8.54685591,9.194631101,9.2679148,7.871972748,5.709479175,9.356075828
ACOX2,1.023877933,1.198796051,0.555892745,1.382259929,0.343878375,0.292007244,0.809744203,0.609011252,4.899405118,0.487752663
ACOX3,11.68477844,4.184847597,10.58820925,7.721209547,6.424786185,3.531516011,12.63408341,6.416232822,14.01923639,7.220495792
ACOXL,0.122081987,0.067245526,0.04744974,0.018687805,0.07269317,0.018773354,0.07908766,0.154249052,0.260516542,0.087989517
ACOXL-AS1,0.050210979,0.029807181,0.00529708,0.01043112,0.025061476,0.017464786,0.124157775,0,0.128635979,0.016371269
ACP1,21.04046226,12.58235624,20.63556809,9.057472048,11.36869116,27.94662702,15.61035704,39.39753428,24.46404643,21.85994144
ACP2,14.68655064,11.98634238,31.22462388,24.16781566,14.21995642,22.66814562,15.38185115,22.41439742,17.7237173,14.03848526
ACP4,0.118793776,0.025315082,0.026992691,0.132886431,0.009121963,0.080096855,0.126535853,0.0153048,0.042749945,0.031284073
ACP5,48.48747106,9.770964793,32.87053606,1307.836901,8.593238971,75.07942548,15.91475008,30.46913123,58.77105635,25.10308937
ACP6,1.38937832,2.416800787,0.338967032,0.480421114,0.952367229,1.004331517,1.263602259,0.982514391,0.935662609,0.756352623
ACP7,0.202044416,0.007316686,0.02340467,0.558828715,0.063275359,0.003858329,0.288004479,0.013270399,0.012355794,0.022604681
ACPP,0.176134454,0.628910428,3.277786863,0.465318017,1.286457805,0.614687168,1.605659395,0.206499817,1.322984877,0.274699975
ACR,0.065758859,0.253937686,0.061805265,0,0.065643575,0.017466483,0.068983242,0.210260742,0.223736477,0.252414911
ACRBP,0.675407172,0.563725819,0.94638671,1.133297363,0.678545041,0.868622171,0.899281358,0.558353329,0.708915283,0.815223545
ACRV1,0.16693756,0.128463739,0.098623384,0.080921348,0.00555483,0.298069896,0.186214211,0.074559006,0.069420344,0.082552049
ACSBG1,0.052346318,0.01242992,0.033134102,0.013049674,0.016422858,0.024762223,0.05177515,0.025049289,0.090959208,0.022187744
ACSBG2,0.057134263,0.122007384,0.021096115,0.010385728,0.014258525,0.319953668,0.090652825,0.023922907,0.016705592,0.020375034
ACSF2,3.405798835,2.594073141,2.596634443,6.623266484,6.435085998,1.478574769,6.081327919,3.52424099,25.60510785,3.205724332
ACSF3,2.095756148,1.161180525,2.271470082,3.046152604,1.487702773,0.946326192,2.356078751,1.240940371,1.652241805,0.870888436
ACSL1,30.48226004,13.67087727,12.08114483,7.081303051,37.02023292,19.16831774,33.25787684,9.513866774,39.21112154,42.73423271
ACSL3,11.05247469,38.60361484,14.93035437,3.033571457,35.93521362,21.73042424,21.22111549,16.73448565,154.1914399,27.67790939
ACSL4,11.52792633,13.64862528,5.296590751,3.208849973,18.92797167,20.78575606,13.77853633,11.96120551,6.062122106,12.87728028
ACSL5,4.190127498,7.137586071,8.171368004,3.456571821,11.48089452,11.36240193,8.117808151,13.62204125,15.51528309,11.53965759
ACSL6,0.463692912,0.162899,0.121585925,0.003664738,0.074631015,0.12271715,0.109534729,0.151947112,0.052398076,2.283414935
ACSM1,0.175779649,0.193994117,0.899164038,0.043642848,0.398020686,0.037579402,0.267153281,0.272863627,7.594987063,0.063603321
ACSM2A,0,0,0,0,0.001499729,0.001463179,0,0,0.00234282,0
ACSM2B,0.001508809,0,0.002228436,0.002194141,0.001506164,0.001469457,0,0,0,0.001721813
ACSM3,0.177819163,1.020105229,1.076085939,0.073228544,0.237200185,0.331036963,1.080436132,0.506032792,0.301834723,0.246021117
ACSM4,0.139139345,0.224851478,0.198162528,0.086716846,0.238106428,0.26618111,1.651453792,0.108196345,0.108488556,0.907326522
