,TCGA-A2-A3XY,TCGA-A7-A26G,TCGA-A8-A09X,TCGA-AC-A2QJ,TCGA-AO-A03U,TCGA-AR-A1AR,TCGA-BH-A0BL,TCGA-BH-A0RX,TCGA-C8-A26X,TCGA-D8-A27M
HBEGF,13.25914937,2.146749119,2.07215856,7.989076746,3.415848603,4.166743843,4.447464789,3.661346222,3.65068664,2.168883931
HBG1,0,0,0,0,0,0,0,0,0,0
HBG2,0,0.005072053,0,0.015974835,0.010965894,0.042794571,0.006338085,0.027597811,0,0.018803947
HBM,0.013437623,0,0,0.039082538,0,0,0,0,0,0
HBP1,6.529453409,13.22419446,8.221027481,0.932897897,14.87978263,15.24951548,14.6531745,7.485355556,8.244876464,12.1688098
HBQ1,0.137785777,0,0,0,0,0,0.079498038,0.038461875,0,0.157237486
HBS1L,4.689988338,5.077481436,4.261938887,1.127305322,4.104986776,9.260622424,7.311059495,3.605262805,6.867488412,3.843532611
HBZ,0.016303129,0,0,0.047416695,0,0,0.018812781,0,0,0
HCAR1,0.469843335,2.069231836,6.901223703,0.27405318,2.082241042,0.553129707,1.689066535,2.071068726,1.710939224,0.262194387
HCAR2,3.750872363,0.332515017,0.833193686,0.375276205,0.928585561,1.449527871,2.887821464,0.361852922,0.598957784,1.445061813
HCAR3,0.172796389,0.03191335,0.195662271,0,0.034498691,0.100973761,0.212689182,0.057881793,0.161677611,0.138033469
HCCAT5,0.022815316,0.010534265,0,0.016589251,0.011387659,0,0,0.057318531,0.017789365,0
HCCS,12.74639406,8.591786924,17.14408088,7.14458916,10.09293802,14.00034709,11.08310463,11.98969482,10.48105981,13.81795392
HCFC1,16.0928401,13.19566062,13.19654777,7.862474219,9.035329393,14.21657498,14.36455264,8.020471409,8.085916569,13.24001099
HCFC1R1,38.00887485,12.42935177,17.48182644,136.465694,11.7642382,10.53222405,19.13973977,23.72300549,38.75110962,29.69085559
HCFC2,1.63197383,3.765888438,3.280000481,0.51799221,2.8155713,2.677924953,2.801723855,1.558418623,1.983804468,2.694000706
HCG11,5.010061067,9.3255908,1.510124618,0.720567119,6.41451172,9.590263428,5.531708845,3.201011068,1.618980019,6.139194455
HCG14,0.268231876,0.110086893,0,0.043340926,0.029751292,0.145131105,0.034391403,0.049916623,0.046476332,0.306099125
HCG17,0.145954894,0.19468265,0.359280181,0.731085467,0.242831695,0.031588483,0.187136356,0.027161482,0.480500368,0.222079822
HCG18,2.756626325,3.329580754,2.219219827,1.071313067,1.383400896,2.651999308,1.788978121,2.692850795,1.559795533,2.64924489
HCG20,0.116714235,0.116069003,0.066300427,0.013056019,0.304717468,0.026231574,0.031080196,0.150368819,0.056002116,0.102454768
HCG22,0.027835511,0.087394852,0.06577866,0.137628511,0,0.103016172,0.077089007,0.018648182,0.095496145,0.025412119
HCG23,0.007119065,0,0,0,0.01776646,0.058933805,0.057504654,0.011923404,0,0.032496353
HCG25,0.206043554,0.297811484,0.291084932,0.247522738,0.312994856,0.375164963,0.620246701,0.675182263,0.209549402,0.368031844
HCG27,0.366023956,0.169000216,0.285745265,0.235723819,0.161812148,0.361570042,0.349962476,0.210184181,0.163081778,1.032307956
HCG9,0.087920448,0.0974269,0.077912473,0.204569168,0.07021305,0.034250941,0.142036495,0.058901615,0.054842072,0.300997473
HCK,9.179895698,4.962722099,9.295572915,14.33952463,14.16693617,11.1310019,9.665096524,11.44790598,12.11775668,10.79385503
HCLS1,14.58792373,7.824631772,15.15976126,22.79211026,16.74332405,11.25109444,12.41878088,19.25144859,13.98995092,15.0173685
HCN1,0.009109242,0.03785319,0.006726948,0.029805406,0.002273318,0.006653744,0.005255744,0,0.007102581,0.044179709
HCN2,0.148081976,0.193443473,0.757482381,0.283623627,0.093741015,0.077386222,0.104193438,0.127032531,1.030702675,0.317366271
HCN3,2.001198263,0.482682004,0.926404076,0.582036763,0.527747932,0.826144993,1.364873862,0.345176897,0.419200502,2.522311587
HCN4,0.020435301,0.004717683,0.00503032,0.029717436,0.005099869,0,0.129695748,0.014260906,0.148713975,0.005830056
HCP5,19.78518282,4.426331536,10.05148704,2.926258301,10.28639084,19.86892929,22.41442705,14.60433436,9.731933664,45.60428245
HCP5B,0.078192881,0.01805157,0.019247832,0,0.03252325,0.012692249,0.030076547,0.043653923,0.030483947,0.014871941
HCRT,0.021332518,0,0,0.031022188,0.021295119,0,0,0,0.033266422,0.024344105
HCRTR1,0.038495271,0.035547996,0.021320849,0,0.057641675,0.004686407,0.105500133,0.032237006,0,0.005491223
HCRTR2,0.025068967,0,0,0.08202557,0.012512509,0.109868089,2.53843226,0.136457407,0,0.014304021
HCST,7.007819085,1.780067339,4.74507723,53.46580408,8.759450258,5.358344574,6.48780073,23.77684263,9.425142404,6.278555218
HDAC1,29.55928508,38.7945737,18.28967299,21.41381843,21.24462993,33.15332045,24.08491656,40.23754633,19.68876055,45.46077059
HDAC10,1.05163582,0.447679655,0.943678312,4.584316147,0.771833014,0.312346996,0.599588515,0.666227109,1.01963497,1.072428886
HDAC11,7.23008753,1.097689934,1.084371672,5.46382905,2.589613111,1.573104657,6.062303706,2.853622059,2.031784019,4.42861269
HDAC11-AS1,0.525815496,0.022070819,0,0.104270693,0,0.209496046,0.275799019,0.040030224,0.037271311,0
HDAC2,11.2595722,8.323600805,9.740612961,3.1073714,4.86691196,16.49034042,15.42365117,7.481659389,9.802829726,4.42901009
HDAC2-AS2,0.076329299,0.152248411,0.074404818,0.142079542,0.092958491,0.272078973,0.126834027,0.040908972,0.159499763,0.059231385
HDAC3,11.88891019,8.261615975,15.26283652,22.87046639,9.198879905,11.98782928,12.30512667,8.934450263,7.348790289,9.92448875
HDAC4,2.239314348,1.188683974,0.972351709,0.736452067,0.751869997,2.15759405,1.773331159,0.845102459,0.867266161,2.991511385
HDAC4-AS1,2.088289928,0.092711841,0.088970198,2.336026394,0.581290749,0.09778001,0.463414338,0.605351015,0.751506371,0.572860878
HDAC5,12.00509979,3.057219797,5.018594213,16.17044356,7.772698936,4.045774362,9.555487458,6.868246815,4.477425404,6.69137901
HDAC6,7.160466929,2.338357883,3.369821732,2.797058994,3.617030807,4.204720759,6.292876962,2.257178661,3.115547987,6.217877741
HDAC7,11.16823485,6.255681014,3.786801523,8.758787197,10.62513408,5.807963221,7.965946833,6.995753308,7.155487316,7.314731756
HDAC8,3.114400855,6.18510179,3.450706127,2.279487737,2.432786246,4.129661213,4.185310352,3.322865764,4.906627103,3.486176341
HDAC9,1.367163753,3.782744473,0.324114408,0.393589281,0.500925695,0.859174072,1.035709151,0.257281076,1.242233064,6.353377446
HDC,0.457381907,0.278702667,0.684721181,0.099543895,0.083861644,0.321210795,0.240557258,0.156336439,3.964128036,0.316011839
HDDC2,10.16819097,5.140780233,6.212178872,8.220289616,9.102773746,9.536513649,7.451608893,8.655176111,9.721241615,4.599481306
HDDC3,3.948660498,0.684779758,4.792543934,3.276364416,2.178328896,0.703813461,1.880375695,2.159650527,2.636880902,2.317734439
HDGF,217.4971117,100.3284611,114.0240554,60.85932762,59.11020145,127.1286088,168.8091411,223.8536596,107.6596004,106.8287852
HDGFL1,0.011323701,0,0,0.024700739,0.011303849,0,0.052267339,0.018965561,0.017658441,0.012922308
HDGFL2,21.40236079,3.931598825,8.284203677,36.69063907,8.202955205,3.569300182,12.48559928,11.42272065,9.880885538,4.816146269
HDGFL3,3.31179824,1.56723454,0.96529718,0.856829271,1.486297908,2.338117199,3.12335219,1.679382772,1.158556909,2.930649523
HDHD2,7.831723258,5.736395345,4.857935472,0.643083882,5.17716761,6.12388473,4.070263492,3.510431048,3.554125356,4.111840473
HDHD3,11.33234015,5.972122398,17.6268489,6.53916766,7.366533074,18.4117112,6.538402053,15.90483503,11.25239474,15.54796129
HDHD5,12.54077609,4.815091618,8.423154965,10.33880393,4.313991649,3.385541739,5.24579679,12.17053418,10.05234293,5.998809703
HDHD5-AS1,0.663235077,0.090067129,0.403350364,1.106326921,0.058418148,0.170983302,0.20258771,0.816781502,0.882166453,0.155825422
HDLBP,68.70511741,72.10739581,73.23614743,72.54107181,64.5601849,83.33125691,65.67701282,35.40793537,69.87119484,102.5195118
HDX,0.345964178,0.840974825,0.283038332,0.150439231,0.90571739,1.382448762,1.463809561,0.616365063,0.573884731,0.928953346
HEATR1,4.24396638,13.09235651,7.182228783,1.05234775,4.948045316,24.09488773,8.841767861,9.215378589,4.810878198,6.802074978
HEATR3,7.65662464,6.89651089,5.132699163,3.346317321,5.407814828,8.224974909,8.706229309,7.239843448,5.813941397,7.367470209
HEATR4,0.22810437,0.129624766,0.30234507,0.025516468,0.160560848,0.128166386,0.340833593,0.146939167,0.273624023,0.180212314
HEATR5A,1.892654381,3.873899496,1.957636784,0.415908712,3.020538957,4.030663288,3.786992742,1.467221221,2.587905452,3.384446181
HEATR5B,4.31545188,8.162639221,5.507485835,0.486431379,6.82044572,8.914176736,4.261441014,3.019730594,3.985841066,8.394379102
HEATR6,3.656248055,3.686864983,4.77643368,1.316378226,3.175308748,3.383582054,3.979822896,2.744224772,6.3719548,3.456812934
HEATR9,0.037808793,0,0.031023169,0,0.033548898,0.045005502,0.033933634,0.014072058,0.013102202,0.086292791
HEBP1,12.59137296,7.809908617,14.04929552,13.85388529,8.538983958,9.37572238,16.27106037,11.56555962,12.81507222,10.23904437
HEBP2,13.03151518,5.768846563,14.09812514,4.972743438,7.898459644,14.5726905,10.55672942,9.90964495,17.6581834,6.090093061
HECA,13.66165368,18.52568857,5.550373212,3.740019243,11.27611079,20.57405329,16.7817611,8.835242188,9.402474951,10.10330668
HECTD1,10.23467675,14.57627562,14.6586142,1.639306568,12.98790456,16.37932524,16.86407659,5.82660194,9.593541095,12.61023682
HECTD2,1.247286583,1.319180265,0.952961705,0.175734384,0.70117652,1.491122875,1.25502092,0.816815869,0.731916679,1.226364176
HECTD3,11.02148711,12.87543401,13.28466243,11.47604024,11.09655231,12.94883904,10.20021783,11.66604659,16.21929707,13.7007109
HECTD4,2.193364936,2.971237421,2.786939625,0.428161411,2.395712755,2.071696068,2.764747082,1.175465654,1.814298384,3.235550741
HECW1,0.023798016,0.042324134,0.087220313,0.098695651,0.040473688,0.04034572,0.106794357,0.019191002,0.039860153,0.192115346
HECW1-IT1,0,0,0,0,0,0,0,0,0,0.01527629
HECW2,2.101584114,1.820677346,2.218733453,0.49079193,0.609910871,1.58301307,2.833567635,1.65353335,1.430681537,1.143246519
HEG1,8.577138012,22.83945029,14.24326366,2.38603913,11.16192952,18.29759454,22.28219869,10.97350433,11.99065959,16.12274892
HEIH,15.28176604,4.630529917,10.02517843,21.00951365,12.71867751,7.510534691,10.91067261,13.85186275,10.53850834,11.70829152
HELB,0.661124043,1.964992381,0.614068059,0.088227497,0.581588598,1.105285507,0.879234317,0.627612159,0.518964374,1.460042828
HELLS,1.542853115,1.245517982,1.193101929,0.208137235,0.43468022,2.930804538,2.175056292,1.927884439,1.178391192,1.122561195
HELQ,2.240988747,2.145945766,2.590087882,1.576416734,2.849273183,5.579038245,2.857561579,1.909979638,2.367676853,3.317754706
HELT,0.298758805,0,0,0,0,0,0,0,0.015529713,0
HELZ,3.020488294,7.16050737,4.116699549,0.935123942,4.37347984,6.394222649,4.493850947,1.829192515,1.878210659,6.095469218
HELZ2,15.05810733,1.329197041,2.837074735,2.108040692,2.733223077,2.026783668,5.085344409,5.827920817,3.585687938,3.779972127
HEMGN,0.03084928,0.028487398,0,0,0.010265066,0.02002979,0.029665099,0.008611347,0,0.017602191
HEMK1,0.983441698,0.493863685,0.713144802,1.84572993,0.699600301,1.044190844,0.96226526,0.559300016,0.86956799,1.07889064
HENMT1,16.92595471,9.155022922,2.585306724,7.894801483,2.628648095,7.93588369,8.202519739,7.622490478,4.240879111,3.601382235
HEPACAM,0.39861556,0.0534334,0.014243597,0,0.009627018,0.078269974,0.26708351,0.01615218,0.005012986,0.121059313
HEPACAM2,0.019829018,0.03204402,0,0,0.044537074,0.014483886,0.028601791,0.024908053,0,0.050913789
HEPH,6.778267311,8.908769782,2.757734251,15.9847524,3.282136815,5.787460391,15.52556931,4.025730343,3.192374518,8.821303686
HEPHL1,0.248710417,0.078682779,0.06802461,0.388470919,0.025287207,0.096440909,0.061119539,0.196706047,0.739777998,0.162934709
HEPN1,0,0,0,0,0,0,0,0,0,0
HERC1,5.604058545,7.219272531,5.203454876,0.970932802,5.981881773,5.474064777,4.976649592,1.772264027,3.576006688,7.298801864
HERC2,4.298606185,4.356002893,4.160233785,1.007294009,3.855459691,3.009677218,5.702878377,1.934221143,2.712391891,3.559506403
HERC2P2,1.613494858,2.53440495,1.30767669,0.706740218,2.757361742,2.24610441,3.452516658,0.67485267,1.320067966,0.649388182
HERC2P3,0.217069076,0.105055034,0.040557858,0.005704813,0.114871026,0.276358117,0.095063201,0.186159889,0.203917191,0.498411481
HERC2P9,0.545085619,0.987556262,0.483476119,0.122778427,0.609189039,0.690995214,1.087066312,0.248081409,0.436558733,0.606824427
HERC3,2.557574678,4.761701178,6.188299421,0.414635215,5.503234462,3.655774207,2.642003825,1.406366441,3.970555856,5.646927334
HERC4,2.455248006,3.922713035,3.930285307,0.568158044,2.685105301,8.871916568,4.85525141,3.734920642,2.237184167,3.075757181
HERC5,6.335216181,2.752183862,2.586184074,1.697589302,3.413420838,9.95548223,3.761016704,6.739204875,2.331881223,4.88063044
HERC6,19.22715329,3.219813565,3.091124371,1.328657857,6.10440233,9.237643695,4.138746812,7.750854618,3.568568802,11.61937881
HERPUD1,19.67269063,35.77296529,20.51770704,15.12194738,38.44453927,16.2085684,26.55297183,25.67047768,63.85457671,40.99793831
HERPUD2,11.22434804,10.85522555,9.375419632,5.619192386,8.98266309,14.75396734,11.93264081,9.767941816,12.2228888,9.390329857
HES1,31.040779,19.61295157,31.84511766,3.94108158,26.65422906,22.53386339,22.53158941,24.03482954,17.63084849,17.20736278
HES2,1.36588083,0.580200883,1.16669378,0.668718338,0.261334868,1.132935226,0.388781232,0.16776121,0.894594185,0.09612027
HES3,0,0,0,0.205449667,0,0,0,0,0.027539061,0
HES4,27.05087278,0.447338777,8.585703692,35.33529834,2.286006283,3.86012392,4.243308513,2.673753972,5.305161087,1.922291551
HES5,0.122523136,0.043516354,0.139200437,0.287822241,0.047041668,0.091790423,0.043502755,0.031570544,0.088184036,0.043021589
HES6,3.202600519,1.489861527,6.934477877,1.889277114,1.055608571,0.582619096,1.952391678,1.872302182,4.259212471,7.895580894
HES7,0.059303943,0.030424175,0,0.028747006,0.019733325,0,0.015207333,0.02207234,0.010275549,0.097754354
HESX1,0.936972725,0.847020724,0.626379661,0.57371161,0.571043637,0.970168876,0.921871479,0.57816088,0.584454775,0.483975637
HEXA,4.10523168,7.977530774,3.900875088,14.38115901,6.286381326,4.758629244,5.659609746,5.894832113,7.427663081,6.478053076
HEXA-AS1,0.013799173,0.067960967,0.163045535,0.013378029,0.316824582,0.129912948,0.20700386,0.100150354,0.667081258,0.062989008
HEXB,16.46040142,27.20146739,23.15232115,33.57405181,37.8779105,28.7878245,23.15135995,24.57430694,27.18779218,30.2027133
HEXD,7.172513328,2.41944641,3.550117278,7.775401696,2.979363053,0.938127743,2.301723112,2.611073259,1.853379441,3.811813245
HEXIM1,8.643556952,5.632718174,15.50818927,7.065449718,15.22599247,7.229327049,11.47339239,10.61701603,17.31257578,6.956943434
HEXIM2,0.839515173,0.184049835,0.900950584,1.080311912,0.8923052,0.282343379,0.752695849,0.768784567,1.469272392,0.558277942
HEY1,3.256212144,5.830943688,2.137450282,20.43080769,1.277390887,1.491060449,3.067496076,9.102231252,4.685841029,1.447246511
HEY2,8.042748333,2.492247159,0.782630464,2.840720166,2.981044768,15.05366961,3.772439549,5.182095716,1.848744057,1.98322304
HEYL,4.922200236,6.302632465,3.411463942,33.90254814,2.852824694,1.948308775,4.845768415,4.808984595,8.069019974,2.275226274
HFE,1.503091081,2.40148009,2.697304661,0.936782602,4.577148528,3.172814024,2.084870484,1.231484858,5.03290769,4.462718474
HFM1,0.177440273,0.070223611,0.003119886,0.015359364,0.016869447,0.01028645,0.053626272,0.056607009,0.029646907,0.028927164
HGC6.3,0.015995923,0.531764756,0.011812591,0.011630801,0.502988225,0.023368088,0.036916568,0.093768002,0.012472206,0.018254124
HGD,0.049516042,0.03048333,17.7164032,0.162016313,0.27597989,0.024112295,0.071422977,3.897813852,18.12656419,2.363850974
HGF,0.338953734,2.060707966,1.035972306,1.762417305,1.386583445,0.804398571,0.712018395,0.880511941,0.491895847,0.862022659
HGFAC,0.185908359,0.287455553,0.012771041,0.018861752,0.008631741,0.004210688,0.129713694,0.007241154,0.006742088,0.009867614
HGH1,43.42220345,11.05948805,13.83818558,36.46750755,7.348791254,10.96967321,11.11963033,41.52417307,10.02709527,10.83690734
HGS,12.77264471,8.257010423,7.061270208,5.801062636,6.119823551,3.118229885,7.242931979,5.492322228,5.153320948,10.06777105
HGSNAT,10.28147207,16.26868357,10.63168829,5.884537469,16.49570938,16.76526679,15.45836074,8.473981587,13.36311744,25.87059196
HHAT,1.091691034,2.320875706,1.215439278,0.218323141,3.426599841,0.855628833,1.38593056,1.083395908,1.150353959,1.673064303
HHATL,0.004257649,0,0.018865006,0.024766243,0.021250923,0,0.004913058,0,0.006639476,0.004858716
HHATL-AS1,0.009247831,0,0,0,0,0.009006634,0,0,0,0
HHEX,2.452022955,2.6109123,2.318346074,1.261847445,3.02194187,3.109714131,2.835104683,3.625073627,2.478210069,3.104148192
HHIP,0.008155616,0.057425441,0.009034078,0,0.013229641,0.04765743,0.03411511,0.001707435,0.023846354,0.020940689
HHIP-AS1,0.213448487,0.328510741,0.046704116,0,0.055241481,0.20018212,0.24630606,0.039721705,0.061640094,0.153366299
HHIPL1,2.20384564,0.880480895,0.907122851,5.068869471,0.511186129,0.610406315,1.917746442,1.625883006,0.930831494,0.812032487
HHIPL2,0.029939465,2.308544562,0.187931171,0.451712857,0.018679361,0.025513775,0.207289503,0.087752481,1.038814561,0.209267524
HHLA1,0,0,0.008878192,0,0.002000209,0,0.006936505,0,0,0.002286594
HHLA2,0.013574704,0.034472343,0.010024581,0,0,0.023136147,0.019580438,0,0.010584354,0.027109413
HHLA3,4.0593058,1.59986344,5.578839137,11.80625254,3.207564258,7.691045957,4.626065862,6.309510106,10.8539731,3.609342305
HIBADH,16.72267363,29.80824163,40.2251513,6.873277486,34.96824495,26.99970849,26.04715742,30.80354132,69.07787469,12.32927802
HIBCH,2.333355267,3.471984888,8.292996131,1.217706364,2.620009688,4.217820548,3.987257335,2.524977119,3.788364699,3.31617902
HIC1,3.112132293,1.092067269,0.849785364,10.81979906,1.527575486,0.802835632,1.98129348,2.362094226,1.441735035,0.971893664
HIC2,1.196955485,0.484952662,0.946879208,0.867839145,0.519133059,0.793764011,1.194294947,1.062334149,0.486581897,1.186922665
HID1,4.781703137,11.133492,36.53519924,0.814677894,10.6016493,0.516583347,5.508613563,5.363507255,7.571321572,3.189718213
HID1-AS1,0.211440587,0.083679546,0.981474103,0.08785179,0.075382109,0.102962951,0.24398907,0.328837235,0.259069911,0.068940116
HIF1A,35.60513589,57.74149946,35.04624363,3.808616435,66.46249281,58.25186701,44.70385652,35.43587914,72.34820235,28.33579649
HIF1A-AS1,0.037757248,0.296365058,0.083648361,0.109814738,0.113073164,0.14708993,0.174277907,0.06323793,0.323837389,0.021543786
HIF1A-AS3,0.184748409,0.063976388,0.409296296,0.167915593,0.184424522,0.337368554,0.506321463,0.077356717,0.144050471,0.843319998
HIF1AN,2.752067592,2.558474623,5.253181035,1.976035516,3.282774668,3.740718342,3.916949065,2.600960185,3.710980211,4.408300379
HIF3A,0.123515048,0.153435826,0.010858665,0.079117511,0.036695985,0.010024466,0.520907942,0.03940378,0.032102037,0.030204023
HIGD1A,22.56747313,26.76379952,10.56043496,12.54589124,27.60420826,48.56681166,20.35997752,22.22788691,36.61322215,14.75935865
HIGD1B,1.658336909,0.858096002,1.879189739,15.46742493,1.227301283,0.54300272,1.418715277,1.771837187,1.40449209,0.63625482
HIGD1C,0,0,0,0,0,0,0.038284769,0,0,0
HIGD2A,94.34337915,24.04315037,112.833124,228.6512164,40.37513156,40.07308801,35.08386467,70.30278041,84.70965565,34.31731663
HIGD2B,0.044117788,0,0.065159775,0,0.011010111,0.010741783,0.050909138,0,0.017199575,0.012586513
HIKESHI,8.009216158,3.119882164,6.291908602,9.439124011,4.640505885,10.69127949,6.302584002,7.785825816,5.43691574,8.326922186
HILPDA,13.16513146,12.81610862,38.11563515,7.920878673,1.567073872,24.04515323,23.21301744,20.1176046,151.0819605,14.73869749
HINFP,2.437745489,2.099723362,1.434257001,1.130111549,1.325417658,1.979283729,1.316971157,1.961790254,1.424578021,1.685128862
HINT1,55.50432427,44.23295322,200.8862054,103.5525749,66.05684375,80.84354294,59.79325571,82.7817165,110.8455723,45.88345769
HINT2,8.618773624,1.827178115,9.511068957,10.69503842,5.191954563,3.153374718,6.149972645,12.18857628,18.05666636,5.155288652
HINT3,13.84654204,15.32793054,10.02784158,1.733807037,13.11409858,19.04162141,16.48377665,7.539548856,15.95699095,12.4443775
HIP1,6.694052577,13.9589362,5.30787609,1.751393585,7.272458026,8.818479132,14.20840886,13.15039566,8.974547057,7.138590044
HIP1R,10.27933891,3.408981219,13.24943555,2.328839379,7.444689112,2.201088339,4.595886574,9.497906087,5.140575526,3.781610975
HIPK1,7.257984586,16.48750807,8.793978638,1.033867888,11.02412982,14.3285563,9.139007639,4.220859235,4.709740231,12.17872101
HIPK1-AS1,0.043860541,0.022092268,0.041223531,0.052186012,0.035822985,0.066016553,0.073617879,0.020034563,0.024871688,0.045502263
HIPK2,2.96253436,3.930517337,7.781973254,0.555519119,4.51140045,13.74296206,7.618254002,3.153504181,7.774100505,10.5417515
HIPK3,8.018238814,33.4666747,7.070343206,2.408983187,16.35267937,34.06694638,12.96497985,9.382957629,8.753161329,27.11877036
HIPK4,0.090358699,0.018542368,0.044485099,0.182502062,0.045100144,0.034223004,0.057926792,0.033630612,0.039140957,0.034371653
HIRA,7.169432966,2.466833694,4.681272828,4.263642125,2.160778444,3.482856194,3.40306093,5.946336528,4.848911746,4.92070304
HIRIP3,8.676636651,1.058287618,6.386669047,7.039708539,3.125739957,1.274717029,6.008819395,3.435053458,4.223718474,2.762142498
HIVEP1,5.62021395,6.021258688,3.849851247,0.355420065,2.900868889,8.037381489,8.335377852,1.915281575,3.180180817,5.04595939
HIVEP2,5.221254855,8.176556393,5.241461875,1.311260324,5.403186582,6.823029907,7.777566184,3.094233068,10.21008558,7.452977455
HIVEP3,1.741967148,1.619786139,1.261476563,0.853210484,3.103783084,3.20428339,2.202843834,1.185568916,1.3643045,2.872708817
HJURP,5.350699038,6.455180185,5.833070287,1.691135464,0.980796009,13.27728174,5.735731774,6.193841597,5.234468382,8.429399688
HJV,0,0.019521634,0,0.015371234,0.005275777,0.0051472,0.006098604,0,0.008241617,0.00603115
HK1,43.11040847,34.36893116,56.57431719,21.54578534,46.69896209,26.82012786,36.84809767,31.95022209,16.67251368,29.18712305
HK2,14.0301549,10.01314175,13.60770129,2.612355703,6.8143363,8.80306791,21.44601161,8.791532217,21.49910517,20.09925845
HK3,2.652578629,0.400763134,1.547198054,6.322057813,1.45281258,2.517808521,2.728482205,4.123113021,2.450390455,3.185022901
HKDC1,0.080922319,0.272218856,0.029879559,0.004202818,0.020195113,0.016888231,0.033349729,0.111330828,0.013520586,0.016490431
HLA-A,475.099392,197.6885271,249.4962483,899.2900277,309.4128484,310.5068962,457.9916975,743.377499,331.4950296,1031.95484
HLA-B,873.2835711,234.0127071,438.633602,747.2632581,470.914638,548.650151,667.2650047,1421.714255,847.7287944,2115.269398
HLA-C,740.6437066,138.3718365,237.5847474,553.9329327,445.0971542,300.2383391,390.884433,703.6634886,551.723753,1231.310603
HLA-DMA,28.83887851,32.37695043,50.46375121,62.9530535,54.19206134,36.92383882,39.61775625,58.33212384,65.37114393,129.3125053
HLA-DMB,10.706463,12.66305521,18.71852056,13.70075089,25.50634223,15.35626767,15.58587356,14.15853097,22.03166851,43.11430463
HLA-DOA,7.277323639,19.29920361,23.7168262,7.486507518,14.39437531,11.01971944,15.64808838,7.060265817,13.81235587,124.3147571
HLA-DOB,2.64991663,2.618326086,2.896208198,2.350673707,3.075127532,2.322722574,2.966101178,6.546385045,6.808032253,13.95582827
HLA-DPA1,63.71999303,36.8302948,125.9350039,71.35319568,143.4157739,79.36201596,118.8480731,113.8411016,88.22961643,217.0225989
HLA-DPB1,113.9727481,96.18942815,171.0156925,219.2998344,131.0526203,84.52471963,166.9323215,163.196093,180.1525716,376.7253163
HLA-DPB2,2.492544706,4.688669557,0.71582085,0.190185399,1.013700911,0.981503523,2.885116295,2.396559444,4.690710978,5.77664316
HLA-DQA1,26.73939175,26.74985143,58.80346547,14.70073263,30.96920563,48.99659632,40.77782254,34.08249626,61.52731037,81.85201949
HLA-DQA1,14.00496588,26.14139314,17.40420147,104.2510792,7.288520033,1.518143735,0.736278417,36.29367532,39.82527636,144.2628481
HLA-DQA2,14.00496588,26.14139314,17.40420147,104.2510792,7.288520033,1.518143735,0.736278417,36.29367532,39.82527636,144.2628481
HLA-DQB1,15.62201504,38.29462574,72.89624894,31.99991155,48.86851197,43.59277317,70.2449246,45.9898618,56.15944486,84.79200279
HLA-DQB1-AS1,2.296762433,2.512154967,5.53291478,0.907960983,4.184799546,1.845951973,4.502968577,0.597552612,1.877744859,6.794254543
HLA-DQB2,16.04764946,10.71631844,18.42161293,17.86449691,8.506581073,1.997971547,4.517432889,6.231430676,19.18526037,76.16858789
HLA-DRA,540.7052614,800.6080869,1067.737695,492.775962,1095.584138,939.9675673,990.9597713,1401.198085,1469.491179,2819.921472
HLA-DRB1,418.1426396,268.7769581,609.615314,642.5809375,653.2519341,393.8332872,548.1911578,560.3671052,629.9667604,1205.267129
HLA-DRB5,50.86686375,161.1332672,288.4204341,235.5102552,373.2701277,47.39949642,215.9856536,138.206094,142.6350891,369.368491
HLA-DRB6,26.04726159,13.76663158,11.95519703,97.11250175,14.55755868,16.71606059,7.391039309,24.89104052,20.74362085,106.726228
HLA-E,356.4315657,120.3241317,216.6333409,273.1299236,310.9942499,137.0158518,241.6052708,577.3120486,333.6075505,627.9208607
HLA-F,39.49778551,4.183238531,10.25375044,17.84208754,15.55578049,12.0734172,21.42650943,52.74489009,19.87109394,69.84777369
HLA-F-AS1,0.462429158,0.399825636,0.130506656,0.192747332,0.341068418,0.263910097,0.489429414,0.187459075,0.312333409,2.137737493
HLA-G,4.112263278,0.567356498,0.917743826,4.974987577,0.494836726,1.468730077,3.552926494,4.455207207,3.037622427,55.2062031
HLA-J,1.197741234,0.132168275,0.834435915,6.594663984,2.752231249,1.041781982,4.989531693,7.494275198,2.067485704,13.07515337
HLA-L,0.914500429,0.202345908,0.802477247,0.741354207,0.156241574,0.487788149,1.65128713,2.554008247,1.230833425,2.457189176
HLA-V,0.336961096,0.130487576,0.022475634,0.037936706,0.203992348,0.332407135,0.122921021,0.065538709,0.132213756,3.401239543
HLCS,2.705484599,4.744554589,8.381179116,1.77432442,2.831573317,8.866647721,7.819298971,2.500836076,8.148451615,3.726635374
HLF,2.403229943,1.869734658,0.280871988,0.035246505,18.92599041,0.127105127,1.189733134,1.083550605,0.709408203,1.585077067
HLTF,3.802588575,19.17054316,5.634341055,1.895762588,3.965219066,30.5208064,10.66452631,6.118962551,4.661667166,11.03624088
HLTF-AS1,0,0,0,0,0,0,0,0,0,0
HLX,2.707514862,0.576356425,1.17235789,9.503340236,2.424893282,0.853550389,1.626142199,2.626117039,1.688864517,0.876048003
HLX-AS1,0.065588967,0.080756459,0.193743273,0.03179361,0.327369905,0.02129277,0.201828056,0,0.170468252,0.224545184
