,TCGA-AC-A6IW,TCGA-AO-A128,TCGA-B6-A3ZX,TCGA-C8-A12V,TCGA-E2-A1LH,TCGA-EW-A1OV,TCGA-EW-A1PB,TCGA-EW-A6SB,TCGA-LL-A5YO,TCGA-S3-AA10
MAGEE1,1.41880551,2.484319148,3.713923558,1.751509674,0.997874274,3.42446771,2.777901676,1.167616274,0.933268327,1.722673977
MAGEE2,0,0.276742145,0.014674323,0.009003266,0.068246596,0.010880442,0,0,0.070609799,0
MAGEF1,69.3013107,32.92793871,50.06866394,49.68022868,37.75244825,36.55559781,38.95040167,32.72789206,27.84202079,20.30682399
MAGEH1,13.22491853,11.07760778,29.26662704,15.12393434,9.196597549,25.74215797,21.37424411,35.73553188,22.52040467,10.11487665
MAGEL2,0.06289384,0.024648499,0.038392918,0.056533302,0.1071335,0.2049614,0.014069907,0.234796199,0.123159174,0.094783977
MAGI1,3.361094362,2.295168493,2.895408035,2.982758937,3.821024311,2.373699764,0.84357242,2.06922188,0.974701937,1.250226613
MAGI1-AS1,0,0,0,0,0,0,0,0,0,0
MAGI1-IT1,0.177355651,0.041269672,0.012856467,0.110431173,0.119584413,0.019065145,0.00588941,0.022464334,0.041241771,0.007934973
MAGI2,0.38920811,0.660217091,0.294402784,0.254885492,0.261668095,0.295901861,0.040458828,0.077162284,0.524668579,0.232177998
MAGI2-AS2,0,0,0,0,0,0,0,0,0,0
MAGI2-AS3,0.307186185,0.339461247,0.702634979,0.548664814,0.609985431,0.778833728,0.079329467,0.119052277,0.466728243,0.434540302
MAGI3,0.836590048,8.809923425,3.782382952,4.284826898,1.958924253,3.138037816,2.609630707,2.382773832,1.413941091,2.622082853
MAGIX,0.838535703,1.82287281,0.836857351,0.725562368,0.919657288,0.613310077,1.053857283,0.959781762,0.554524964,0.410811611
MAGOH,42.86651534,23.75124636,23.1784841,25.65989773,28.32630234,25.79146645,36.66375532,60.07033671,31.04389028,28.31900338
MAGOHB,7.055027738,3.517854979,3.884052409,2.53104304,7.990405871,3.567718398,5.715992625,17.85435558,3.324714361,6.732365745
MAGT1,14.78615535,63.84245112,33.05346097,35.7531954,21.20148013,32.27619077,24.272318,25.16806637,26.40702658,29.35962347
MAIP1,11.00334007,8.170499287,7.681628495,11.86971909,20.83032344,14.60070211,8.843725241,13.52877195,13.10307438,15.08866948
MAJIN,0.018549216,0.253222888,0.035856749,0.052798812,0.253476339,0.042538225,0.190536876,0.1378369,0.138028195,0.0619659
MAK,0.104364578,0.231883116,0.121045801,0.134158457,0.217917549,0.214243779,0.046506271,0.150100666,0.206674849,0.433794818
MAK16,12.47159558,5.279473473,5.76829583,5.991771721,2.388132309,2.615666307,7.325079521,2.147895865,3.784887778,8.15435591
MAL,0.673768123,5.562355861,13.35278273,1.973414478,2.401849237,3.92999768,0.632947872,3.324598156,7.138980259,1.887320076
MAL2,59.4101697,60.68342215,22.82275611,58.31287033,78.88226459,83.09137461,63.72528131,112.7007793,107.2565597,170.0313129
